Patient	cluster_id	sample_id	cellular_prevalence	cellular_prevalence_std	upper_95CI	lower_95CI	clonal
Patient300	6	Recurrence1v1	0.0103	0.0015	0.0133	0.0073	FALSE
Patient300	6	Recurrence1v10	0.0101	4e-04	0.0109	0.0093	FALSE
Patient300	6	Recurrence1v2	0.0364	0.0056	0.0476	0.0252	FALSE
Patient300	6	Recurrence1v3	0.0204	0.0032	0.0268	0.014	FALSE
Patient300	6	Recurrence1v4	0.0353	0.0056	0.0465	0.0241	FALSE
Patient300	6	Recurrence1v5	0	0	0	0	FALSE
Patient300	6	Recurrence1v6	0	1e-04	2e-04	-2e-04	FALSE
Patient300	6	Recurrence1v7	0.0104	0.0016	0.0136	0.0072	FALSE
Patient300	6	Recurrence1v8	0.0079	0.0042	0.0163	-0.000499999999999999	FALSE
Patient300	7	Recurrence1_9-1-22	0	2e-04	4e-04	-4e-04	FALSE
Patient300	7	Recurrence1_9-1-46	1e-04	0.001	0.0021	-0.0019	FALSE
Patient300	7	Recurrence1_9-2-123	0	5e-04	0.001	-0.001	FALSE
Patient300	7	Recurrence1_9-2-85	0.0018	0.004	0.0098	-0.0062	FALSE
Patient300	7	Recurrence1v1	3e-04	0.0017	0.0037	-0.0031	FALSE
Patient300	7	Recurrence1v10	0.1124	0.0171	0.1466	0.0782	FALSE
Patient300	7	Recurrence1v2	0.0085	0.0047	0.0179	-9e-04	FALSE
Patient300	7	Recurrence1v3	0.0017	0.0039	0.0095	-0.0061	FALSE
Patient300	7	Recurrence1v4	0.0201	0.0079	0.0359	0.0043	FALSE
Patient300	7	Recurrence1v5	0.8194	0.0366	0.8926	0.7462	FALSE
Patient300	7	Recurrence1v6	0	4e-04	8e-04	-8e-04	FALSE
Patient300	7	Recurrence1v7	0.0597	0.0135	0.0867	0.0327	FALSE
Patient300	7	Recurrence1v8	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient300	8	Recurrence1_9-1-22	0.7172	0.0272	0.7716	0.6628	TRUE
Patient300	8	Recurrence1_9-1-46	0.7333	0.0297	0.7927	0.6739	TRUE
Patient300	8	Recurrence1_9-2-123	0.7471	0.0286	0.8043	0.6899	TRUE
Patient300	8	Recurrence1_9-2-85	0.7875	0.0298	0.8471	0.7279	TRUE
Patient300	8	Recurrence1v1	0.733	0.0281	0.7892	0.6768	TRUE
Patient300	8	Recurrence1v10	0.7879	0.0266	0.8411	0.7347	TRUE
Patient300	8	Recurrence1v2	0.6079	0.0247	0.6573	0.5585	TRUE
Patient300	8	Recurrence1v3	0.8022	0.0277	0.8576	0.7468	TRUE
Patient300	8	Recurrence1v4	0.7222	0.0283	0.7788	0.6656	TRUE
Patient300	8	Recurrence1v5	0.8301	0.0262	0.8825	0.7777	TRUE
Patient300	8	Recurrence1v6	0.7376	0.0295	0.7966	0.6786	TRUE
Patient300	8	Recurrence1v7	0.6752	0.0282	0.7316	0.6188	TRUE
Patient300	8	Recurrence1v8	0.699	0.0301	0.7592	0.6388	TRUE
Patient300	9	Recurrence1_9-1-22	0.3318	0.0226	0.377	0.2866	FALSE
Patient300	9	Recurrence1_9-1-46	0.0829	0.0133	0.1095	0.0563	FALSE
Patient300	9	Recurrence1_9-2-123	0.1345	0.0181	0.1707	0.0983	FALSE
Patient300	9	Recurrence1_9-2-85	0.054	0.0107	0.0754	0.0326	FALSE
Patient300	9	Recurrence1v1	0.371	0.0256	0.4222	0.3198	FALSE
Patient300	9	Recurrence1v10	0	5e-04	0.001	-0.001	FALSE
Patient300	9	Recurrence1v2	0.0359	0.0097	0.0553	0.0165	FALSE
Patient300	9	Recurrence1v3	0	5e-04	0.001	-0.001	FALSE
Patient300	9	Recurrence1v4	9e-04	0.003	0.0069	-0.0051	FALSE
Patient300	9	Recurrence1v5	0	5e-04	0.001	-0.001	FALSE
Patient300	9	Recurrence1v6	2e-04	0.0014	0.003	-0.0026	FALSE
Patient300	9	Recurrence1v7	0	5e-04	0.001	-0.001	FALSE
Patient300	9	Recurrence1v8	0	5e-04	0.001	-0.001	FALSE
Patient340	1	Primary-v1	0.0489	0.0125	0.0739	0.0239	FALSE
Patient340	1	Primary-v10	1e-04	0.001	0.0021	-0.0019	FALSE
Patient340	1	Primary-v2	1e-04	0.0011	0.0023	-0.0021	FALSE
Patient340	1	Primary-v3	6e-04	0.0025	0.0056	-0.0044	FALSE
Patient340	1	Primary-v4	7e-04	0.0026	0.0059	-0.0045	FALSE
Patient340	1	Primary-v5	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient340	1	Primary-v6	0.01	0.008	0.026	-0.006	FALSE
Patient340	1	Primary-v7	0.1397	0.0193	0.1783	0.1011	FALSE
Patient340	1	Primary-v8	0.0652	0.0156	0.0964	0.034	FALSE
Patient340	1	Primary-v9	0.0111	0.0058	0.0227	-0.000499999999999999	FALSE
Patient340	2	Primary-v1	0.0066	0.0104	0.0274	-0.0142	FALSE
Patient340	2	Primary-v10	0.6112	0.0778	0.7668	0.4556	FALSE
Patient340	2	Primary-v2	0.0079	0.0118	0.0315	-0.0157	FALSE
Patient340	2	Primary-v3	0.6583	0.0799	0.8181	0.4985	FALSE
Patient340	2	Primary-v4	0.008	0.012	0.032	-0.016	FALSE
Patient340	2	Primary-v5	0.0068	0.0107	0.0282	-0.0146	FALSE
Patient340	2	Primary-v6	0.0078	0.0118	0.0314	-0.0158	FALSE
Patient340	2	Primary-v7	0.1642	0.0446	0.2534	0.075	FALSE
Patient340	2	Primary-v8	0.6128	0.0812	0.7752	0.4504	FALSE
Patient340	2	Primary-v9	0.6722	0.0794	0.831	0.5134	FALSE
Patient340	3	Primary-v1	0.4983	0.0274	0.5531	0.4435	TRUE
Patient340	3	Primary-v10	0.6898	0.0284	0.7466	0.633	TRUE
Patient340	3	Primary-v2	0.3555	0.0241	0.4037	0.3073	TRUE
Patient340	3	Primary-v3	0.5339	0.0278	0.5895	0.4783	TRUE
Patient340	3	Primary-v4	0.6774	0.0298	0.737	0.6178	TRUE
Patient340	3	Primary-v5	0.6142	0.0281	0.6704	0.558	TRUE
Patient340	3	Primary-v6	0.6603	0.03	0.7203	0.6003	TRUE
Patient340	3	Primary-v7	0.6347	0.0283	0.6913	0.5781	TRUE
Patient340	3	Primary-v8	0.6064	0.0296	0.6656	0.5472	TRUE
Patient340	3	Primary-v9	0.8532	0.0292	0.9116	0.7948	TRUE
Patient340	4	Primary-v1	0.1743	0.0671	0.3085	0.0401	FALSE
Patient340	4	Primary-v10	0.2494	0.0712	0.3918	0.107	FALSE
Patient340	4	Primary-v2	0.2078	0.0739	0.3556	0.06	FALSE
Patient340	4	Primary-v3	0.2155	0.0763	0.3681	0.0629	FALSE
Patient340	4	Primary-v4	0.1492	0.0558	0.2608	0.0376	FALSE
Patient340	4	Primary-v5	0.2148	0.0699	0.3546	0.075	FALSE
Patient340	4	Primary-v6	0.2724	0.0851	0.4426	0.1022	FALSE
Patient340	4	Primary-v7	0.3182	0.0804	0.479	0.1574	FALSE
Patient340	4	Primary-v8	0.194	0.0738	0.3416	0.0464	FALSE
Patient340	4	Primary-v9	0.1118	0.0519	0.2156	0.00799999999999999	FALSE
Patient340	5	Primary-v1	1e-04	0.0012	0.0025	-0.0023	FALSE
Patient340	5	Primary-v10	1e-04	0.001	0.0021	-0.0019	FALSE
Patient340	5	Primary-v2	0.0918	0.0173	0.1264	0.0572	FALSE
Patient340	5	Primary-v3	1e-04	0.0012	0.0025	-0.0023	FALSE
Patient340	5	Primary-v4	2e-04	0.0013	0.0028	-0.0024	FALSE
Patient340	5	Primary-v5	0.2951	0.0264	0.3479	0.2423	FALSE
Patient340	5	Primary-v6	0.0088	0.0053	0.0194	-0.0018	FALSE
Patient340	5	Primary-v7	5e-04	0.0023	0.0051	-0.0041	FALSE
Patient340	5	Primary-v8	0.0013	0.0035	0.0083	-0.0057	FALSE
Patient340	5	Primary-v9	4e-04	0.002	0.0044	-0.0036	FALSE
Patient340	6	Primary-v1	1e-04	0.001	0.0021	-0.0019	FALSE
Patient340	6	Primary-v10	1e-04	0.001	0.0021	-0.0019	FALSE
Patient340	6	Primary-v2	1e-04	0.001	0.0021	-0.0019	FALSE
Patient340	6	Primary-v3	5e-04	0.0022	0.0049	-0.0039	FALSE
Patient340	6	Primary-v4	1e-04	0.0011	0.0023	-0.0021	FALSE
Patient340	6	Primary-v5	6e-04	0.0025	0.0056	-0.0044	FALSE
Patient340	6	Primary-v6	2e-04	0.0013	0.0028	-0.0024	FALSE
Patient340	6	Primary-v7	1e-04	7e-04	0.0015	-0.0013	FALSE
Patient340	6	Primary-v8	2e-04	0.0013	0.0028	-0.0024	FALSE
Patient340	6	Primary-v9	0.5028	0.0291	0.561	0.4446	FALSE
Patient340	7	Primary-v1	2e-04	0.0014	0.003	-0.0026	FALSE
Patient340	7	Primary-v10	0.4088	0.027	0.4628	0.3548	FALSE
Patient340	7	Primary-v2	0	7e-04	0.0014	-0.0014	FALSE
Patient340	7	Primary-v3	0.3826	0.0272	0.437	0.3282	FALSE
Patient340	7	Primary-v4	2e-04	0.0013	0.0028	-0.0024	FALSE
Patient340	7	Primary-v5	0	5e-04	0.001	-0.001	FALSE
Patient340	7	Primary-v6	0	7e-04	0.0014	-0.0014	FALSE
Patient340	7	Primary-v7	7e-04	0.0025	0.0057	-0.0043	FALSE
Patient340	7	Primary-v8	0.0406	0.0105	0.0616	0.0196	FALSE
Patient340	7	Primary-v9	0	4e-04	8e-04	-8e-04	FALSE
Patient302	1	Recurrence1v1	0.009	0.0083	0.0256	-0.0076	FALSE
Patient302	1	Recurrence1v2	0.0057	0.0074	0.0205	-0.0091	FALSE
Patient302	1	Recurrence1v4	0.0012	0.0039	0.009	-0.0066	FALSE
Patient302	1	Recurrence1v5	0.0101	0.0091	0.0283	-0.0081	FALSE
Patient302	1	Recurrence1v6	0.1224	0.0294	0.1812	0.0636	FALSE
Patient302	1	Recurrence1v7	6e-04	0.0027	0.006	-0.0048	FALSE
Patient302	1	Recurrence1v9	0.0564	0.0219	0.1002	0.0126	FALSE
Patient302	2	Recurrence1v1	0.0721	0.0314	0.1349	0.0093	FALSE
Patient302	2	Recurrence1v2	0.7243	0.1975	1.1193	0.3293	FALSE
Patient302	2	Recurrence1v4	0.4649	0.2391	0.9431	-0.0133	FALSE
Patient302	2	Recurrence1v5	0.1187	0.0391	0.1969	0.0405	FALSE
Patient302	2	Recurrence1v6	0.2255	0.1015	0.4285	0.0225	FALSE
Patient302	2	Recurrence1v7	0.1862	0.0523	0.2908	0.0816	FALSE
Patient302	2	Recurrence1v9	0.4808	0.2464	0.9736	-0.012	FALSE
Patient302	3	Recurrence1v1	0.2726	0.0329	0.3384	0.2068	TRUE
Patient302	3	Recurrence1v2	0.8632	0.1051	1.0734	0.653	TRUE
Patient302	3	Recurrence1v4	0.5784	0.1847	0.9478	0.209	TRUE
Patient302	3	Recurrence1v5	0.8899	0.0462	0.9823	0.7975	TRUE
Patient302	3	Recurrence1v6	0.908	0.0762	1.0604	0.7556	TRUE
Patient302	3	Recurrence1v7	0.4043	0.0488	0.5019	0.3067	TRUE
Patient302	3	Recurrence1v9	0.568	0.1241	0.8162	0.3198	TRUE
Patient302	4	Recurrence1v1	0.0125	0.0076	0.0277	-0.0027	FALSE
Patient302	4	Recurrence1v2	3e-04	0.0018	0.0039	-0.0033	FALSE
Patient302	4	Recurrence1v4	0.006	0.0063	0.0186	-0.0066	FALSE
Patient302	4	Recurrence1v5	0.3115	0.0338	0.3791	0.2439	FALSE
Patient302	4	Recurrence1v6	0.0066	0.0063	0.0192	-0.006	FALSE
Patient302	4	Recurrence1v7	0.0061	0.0061	0.0183	-0.0061	FALSE
Patient302	4	Recurrence1v9	0.0012	0.0036	0.0084	-0.006	FALSE
Patient302	5	Recurrence1v1	0.0463	0.0122	0.0707	0.0219	FALSE
Patient302	5	Recurrence1v2	0.009	0.005	0.019	-0.001	FALSE
Patient302	5	Recurrence1v4	0.1688	0.0355	0.2398	0.0978	FALSE
Patient302	5	Recurrence1v5	0.0051	0.0058	0.0167	-0.0065	FALSE
Patient302	5	Recurrence1v6	0.0212	0.0082	0.0376	0.0048	FALSE
Patient302	5	Recurrence1v7	0.0547	0.0122	0.0791	0.0303	FALSE
Patient302	5	Recurrence1v9	6e-04	0.0024	0.0054	-0.0042	FALSE
Patient450	1	Recurrence1-v1	0	0	0	0	FALSE
Patient450	1	Recurrence1-v10	0.0101	1e-04	0.0103	0.0099	FALSE
Patient450	1	Recurrence1-v2	0	0	0	0	FALSE
Patient450	1	Recurrence1-v3	0	0	0	0	FALSE
Patient450	1	Recurrence1-v4	0	0	0	0	FALSE
Patient450	1	Recurrence1-v5	0	0	0	0	FALSE
Patient450	1	Recurrence1-v6	0	0	0	0	FALSE
Patient450	1	Recurrence1-v7	0.0241	0.0049	0.0339	0.0143	FALSE
Patient450	1	Recurrence1-v8	0.0101	4e-04	0.0109	0.0093	FALSE
Patient450	1	Recurrence1-v9	0	0	0	0	FALSE
Patient450	2	Recurrence1-v1	0.8037	0.0335	0.8707	0.7367	FALSE
Patient450	2	Recurrence1-v10	0.9527	0.0296	1.0119	0.8935	FALSE
Patient450	2	Recurrence1-v2	0.0021	0.0042	0.0105	-0.0063	FALSE
Patient450	2	Recurrence1-v3	0.001	0.003	0.007	-0.005	FALSE
Patient450	2	Recurrence1-v4	0.0014	0.0035	0.0084	-0.0056	FALSE
Patient450	2	Recurrence1-v5	0.7542	0.0355	0.8252	0.6832	FALSE
Patient450	2	Recurrence1-v6	0.7478	0.0354	0.8186	0.677	FALSE
Patient450	2	Recurrence1-v7	0.6976	0.0354	0.7684	0.6268	FALSE
Patient450	2	Recurrence1-v8	0.954	0.0299	1.0138	0.8942	FALSE
Patient450	2	Recurrence1-v9	0.7715	0.0325	0.8365	0.7065	FALSE
Patient450	3	Recurrence1-v1	0.7749	0.0214	0.8177	0.7321	FALSE
Patient450	3	Recurrence1-v10	0.9465	0.0176	0.9817	0.9113	FALSE
Patient450	3	Recurrence1-v2	0	1e-04	2e-04	-2e-04	FALSE
Patient450	3	Recurrence1-v3	0	1e-04	2e-04	-2e-04	FALSE
Patient450	3	Recurrence1-v4	0	1e-04	2e-04	-2e-04	FALSE
Patient450	3	Recurrence1-v5	0	1e-04	2e-04	-2e-04	FALSE
Patient450	3	Recurrence1-v6	0	1e-04	2e-04	-2e-04	FALSE
Patient450	3	Recurrence1-v7	0.6004	0.0231	0.6466	0.5542	FALSE
Patient450	3	Recurrence1-v8	0.9437	0.0157	0.9751	0.9123	FALSE
Patient450	3	Recurrence1-v9	5e-04	0.0023	0.0051	-0.0041	FALSE
Patient450	4	Recurrence1-v1	0.6982	0.0314	0.761	0.6354	TRUE
Patient450	4	Recurrence1-v10	0.922	0.0407	1.0034	0.8406	TRUE
Patient450	4	Recurrence1-v2	0.9485	0.0353	1.0191	0.8779	TRUE
Patient450	4	Recurrence1-v3	0.9263	0.039	1.0043	0.8483	TRUE
Patient450	4	Recurrence1-v4	0.8141	0.0439	0.9019	0.7263	TRUE
Patient450	4	Recurrence1-v5	0.8775	0.0465	0.9705	0.7845	TRUE
Patient450	4	Recurrence1-v6	0.8132	0.0469	0.907	0.7194	TRUE
Patient450	4	Recurrence1-v7	0.9176	0.0429	1.0034	0.8318	TRUE
Patient450	4	Recurrence1-v8	0.9735	0.0248	1.0231	0.9239	TRUE
Patient450	4	Recurrence1-v9	0.6906	0.0291	0.7488	0.6324	TRUE
Patient450	5	Recurrence1-v1	0	0	0	0	FALSE
Patient450	5	Recurrence1-v10	0	0	0	0	FALSE
Patient450	5	Recurrence1-v2	0	2e-04	4e-04	-4e-04	FALSE
Patient450	5	Recurrence1-v3	0	0	0	0	FALSE
Patient450	5	Recurrence1-v4	0	1e-04	2e-04	-2e-04	FALSE
Patient450	5	Recurrence1-v5	0	1e-04	2e-04	-2e-04	FALSE
Patient450	5	Recurrence1-v6	0	1e-04	2e-04	-2e-04	FALSE
Patient450	5	Recurrence1-v7	0	1e-04	2e-04	-2e-04	FALSE
Patient450	5	Recurrence1-v8	0.7835	0.022	0.8275	0.7395	FALSE
Patient450	5	Recurrence1-v9	0.0092	0.0029	0.015	0.0034	FALSE
Patient450	6	Recurrence1-v1	0	0	0	0	FALSE
Patient450	6	Recurrence1-v10	0	0	0	0	FALSE
Patient450	6	Recurrence1-v2	0	0	0	0	FALSE
Patient450	6	Recurrence1-v3	0	0	0	0	FALSE
Patient450	6	Recurrence1-v4	0	0	0	0	FALSE
Patient450	6	Recurrence1-v5	0	0	0	0	FALSE
Patient450	6	Recurrence1-v6	0	0	0	0	FALSE
Patient450	6	Recurrence1-v7	0	0	0	0	FALSE
Patient450	6	Recurrence1-v8	0	0	0	0	FALSE
Patient450	6	Recurrence1-v9	0.6034	0.016	0.6354	0.5714	FALSE
Patient450	7	Recurrence1-v1	0	3e-04	6e-04	-6e-04	FALSE
Patient450	7	Recurrence1-v10	0	3e-04	6e-04	-6e-04	FALSE
Patient450	7	Recurrence1-v2	0.964	0.0118	0.9876	0.9404	FALSE
Patient450	7	Recurrence1-v3	0.9278	0.0177	0.9632	0.8924	FALSE
Patient450	7	Recurrence1-v4	0.652	0.0271	0.7062	0.5978	FALSE
Patient450	7	Recurrence1-v5	0	4e-04	8e-04	-8e-04	FALSE
Patient450	7	Recurrence1-v6	0.0041	0.0053	0.0147	-0.0065	FALSE
Patient450	7	Recurrence1-v7	0.2549	0.0212	0.2973	0.2125	FALSE
Patient450	7	Recurrence1-v8	0	4e-04	8e-04	-8e-04	FALSE
Patient450	7	Recurrence1-v9	0	1e-04	2e-04	-2e-04	FALSE
Patient450	8	Recurrence1-v1	0	0	0	0	FALSE
Patient450	8	Recurrence1-v10	0	0	0	0	FALSE
Patient450	8	Recurrence1-v2	0.6337	0.0223	0.6783	0.5891	FALSE
Patient450	8	Recurrence1-v3	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient450	8	Recurrence1-v4	0	0	0	0	FALSE
Patient450	8	Recurrence1-v5	0	0	0	0	FALSE
Patient450	8	Recurrence1-v6	0	3e-04	6e-04	-6e-04	FALSE
Patient450	8	Recurrence1-v7	0	0	0	0	FALSE
Patient450	8	Recurrence1-v8	0	0	0	0	FALSE
Patient450	8	Recurrence1-v9	0	0	0	0	FALSE
Patient450	9	Recurrence1-v1	0	0	0	0	FALSE
Patient450	9	Recurrence1-v10	0	0	0	0	FALSE
Patient450	9	Recurrence1-v2	0	4e-04	8e-04	-8e-04	FALSE
Patient450	9	Recurrence1-v3	0	0	0	0	FALSE
Patient450	9	Recurrence1-v4	0.3685	0.0154	0.3993	0.3377	FALSE
Patient450	9	Recurrence1-v5	0	0	0	0	FALSE
Patient450	9	Recurrence1-v6	0	0	0	0	FALSE
Patient450	9	Recurrence1-v7	0	0	0	0	FALSE
Patient450	9	Recurrence1-v8	0	0	0	0	FALSE
Patient450	9	Recurrence1-v9	0	0	0	0	FALSE
Patient450	10	Recurrence1-v1	0	0	0	0	FALSE
Patient450	10	Recurrence1-v10	0	0	0	0	FALSE
Patient450	10	Recurrence1-v2	0	0	0	0	FALSE
Patient450	10	Recurrence1-v3	0.099	0.0071	0.1132	0.0848	FALSE
Patient450	10	Recurrence1-v4	0	0	0	0	FALSE
Patient450	10	Recurrence1-v5	0.1822	0.0083	0.1988	0.1656	FALSE
Patient450	10	Recurrence1-v6	0.0693	0.006	0.0813	0.0573	FALSE
Patient450	10	Recurrence1-v7	0	0	0	0	FALSE
Patient450	10	Recurrence1-v8	0	0	0	0	FALSE
Patient450	10	Recurrence1-v9	0	0	0	0	FALSE
Patient450	11	Recurrence1-v1	0.6509	0.0206	0.6921	0.6097	FALSE
Patient450	11	Recurrence1-v10	0.9288	0.0222	0.9732	0.8844	FALSE
Patient450	11	Recurrence1-v2	0	1e-04	2e-04	-2e-04	FALSE
Patient450	11	Recurrence1-v3	0	1e-04	2e-04	-2e-04	FALSE
Patient450	11	Recurrence1-v4	0	1e-04	2e-04	-2e-04	FALSE
Patient450	11	Recurrence1-v5	0	1e-04	2e-04	-2e-04	FALSE
Patient450	11	Recurrence1-v6	0	3e-04	6e-04	-6e-04	FALSE
Patient450	11	Recurrence1-v7	0.6112	0.0237	0.6586	0.5638	FALSE
Patient450	11	Recurrence1-v8	1e-04	0.001	0.0021	-0.0019	FALSE
Patient450	11	Recurrence1-v9	0	0	0	0	FALSE
Patient372	1	Primaryv1	0.0233	0.0079	0.0391	0.0075	FALSE
Patient372	1	Primaryv2	0.1611	0.0196	0.2003	0.1219	FALSE
Patient372	1	Primaryv3	0.2694	0.0269	0.3232	0.2156	FALSE
Patient372	1	Primaryv4	0.1747	0.0243	0.2233	0.1261	FALSE
Patient372	1	Primaryv5	0.2217	0.0206	0.2629	0.1805	FALSE
Patient372	1	Primaryv6	0.3115	0.0265	0.3645	0.2585	FALSE
Patient372	1	Primaryv7	0.2438	0.0239	0.2916	0.196	FALSE
Patient372	1	Primaryv8	0.0571	0.0138	0.0847	0.0295	FALSE
Patient372	2	Primaryv1	0.0065	0.0076	0.0217	-0.0087	FALSE
Patient372	2	Primaryv2	6e-04	0.0026	0.0058	-0.0046	FALSE
Patient372	2	Primaryv3	0.0031	0.0052	0.0135	-0.0073	FALSE
Patient372	2	Primaryv4	0.0025	0.0057	0.0139	-0.0089	FALSE
Patient372	2	Primaryv5	0.0049	0.0066	0.0181	-0.0083	FALSE
Patient372	2	Primaryv6	7e-04	0.0028	0.0063	-0.0049	FALSE
Patient372	2	Primaryv7	0.0036	0.0057	0.015	-0.0078	FALSE
Patient372	2	Primaryv8	0.2494	0.0411	0.3316	0.1672	FALSE
Patient372	3	Primaryv1	0.2181	0.0733	0.3647	0.0715	FALSE
Patient372	3	Primaryv2	0.2214	0.0781	0.3776	0.0652	FALSE
Patient372	3	Primaryv3	0.1403	0.0657	0.2717	0.00890000000000002	FALSE
Patient372	3	Primaryv4	0.0537	0.0429	0.1395	-0.0321	FALSE
Patient372	3	Primaryv5	0.099	0.0543	0.2076	-0.0096	FALSE
Patient372	3	Primaryv6	0.1147	0.0582	0.2311	-0.00170000000000001	FALSE
Patient372	3	Primaryv7	0.1672	0.0761	0.3194	0.015	FALSE
Patient372	3	Primaryv8	0.3308	0.09	0.5108	0.1508	FALSE
Patient372	4	Primaryv1	0.019	0.011	0.041	-0.003	FALSE
Patient372	4	Primaryv2	0.0063	0.0069	0.0201	-0.0075	FALSE
Patient372	4	Primaryv3	0.1122	0.0226	0.1574	0.067	FALSE
Patient372	4	Primaryv4	0.0521	0.0209	0.0939	0.0103	FALSE
Patient372	4	Primaryv5	0.0138	0.0095	0.0328	-0.0052	FALSE
Patient372	4	Primaryv6	0.071	0.0221	0.1152	0.0268	FALSE
Patient372	4	Primaryv7	0.029	0.0133	0.0556	0.0024	FALSE
Patient372	4	Primaryv8	0.0111	0.0105	0.0321	-0.0099	FALSE
Patient372	5	Primaryv1	0.0255	0.0058	0.0371	0.0139	TRUE
Patient372	5	Primaryv2	0.3393	0.0174	0.3741	0.3045	TRUE
Patient372	5	Primaryv3	0.4724	0.0185	0.5094	0.4354	TRUE
Patient372	5	Primaryv4	0.3217	0.0216	0.3649	0.2785	TRUE
Patient372	5	Primaryv5	0.4386	0.0207	0.48	0.3972	TRUE
Patient372	5	Primaryv6	0.6081	0.0177	0.6435	0.5727	TRUE
Patient372	5	Primaryv7	0.5912	0.0174	0.626	0.5564	TRUE
Patient372	5	Primaryv8	0.0789	0.0111	0.1011	0.0567	TRUE
Patient373	1	Primaryv1	0.0012	0.0037	0.0086	-0.0062	FALSE
Patient373	1	Primaryv10	0.1691	0.0328	0.2347	0.1035	FALSE
Patient373	1	Primaryv2	0.0024	0.0055	0.0134	-0.0086	FALSE
Patient373	1	Primaryv3	0.0014	0.004	0.0094	-0.0066	FALSE
Patient373	1	Primaryv4	0.0018	0.0046	0.011	-0.0074	FALSE
Patient373	1	Primaryv5	0.0026	0.0057	0.014	-0.0088	FALSE
Patient373	1	Primaryv6	0.0028	0.006	0.0148	-0.0092	FALSE
Patient373	1	Primaryv7	0.0016	0.0044	0.0104	-0.0072	FALSE
Patient373	1	Primaryv8	0.0026	0.0058	0.0142	-0.009	FALSE
Patient373	1	Primaryv9	0.3146	0.0438	0.4022	0.227	FALSE
Patient373	2	Primaryv1	0.7176	0.0144	0.7464	0.6888	TRUE
Patient373	2	Primaryv10	0.2328	0.0123	0.2574	0.2082	TRUE
Patient373	2	Primaryv2	0.6206	0.0169	0.6544	0.5868	TRUE
Patient373	2	Primaryv3	0.1676	0.0098	0.1872	0.148	TRUE
Patient373	2	Primaryv4	0.3719	0.0145	0.4009	0.3429	TRUE
Patient373	2	Primaryv5	0.5208	0.0165	0.5538	0.4878	TRUE
Patient373	2	Primaryv6	0.0813	0.0073	0.0959	0.0667	TRUE
Patient373	2	Primaryv7	0.3278	0.0135	0.3548	0.3008	TRUE
Patient373	2	Primaryv8	0.3857	0.0164	0.4185	0.3529	TRUE
Patient373	2	Primaryv9	0.4323	0.0151	0.4625	0.4021	TRUE
Patient373	3	Primaryv1	0.0657	0.0185	0.1027	0.0287	FALSE
Patient373	3	Primaryv10	0.003	0.0065	0.016	-0.01	FALSE
Patient373	3	Primaryv2	0.121	0.0277	0.1764	0.0656	FALSE
Patient373	3	Primaryv3	0.0106	0.0098	0.0302	-0.009	FALSE
Patient373	3	Primaryv4	0.0158	0.0127	0.0412	-0.0096	FALSE
Patient373	3	Primaryv5	0.0038	0.0075	0.0188	-0.0112	FALSE
Patient373	3	Primaryv6	0.0164	0.0136	0.0436	-0.0108	FALSE
Patient373	3	Primaryv7	0.0737	0.0303	0.1343	0.0131	FALSE
Patient373	3	Primaryv8	0.0259	0.0177	0.0613	-0.0095	FALSE
Patient373	3	Primaryv9	0.0159	0.0113	0.0385	-0.0067	FALSE
Patient413	1	Primary-v1	0.6274	0.0857	0.7988	0.456	FALSE
Patient413	1	Primary-v10	0.5245	0.0769	0.6783	0.3707	FALSE
Patient413	1	Primary-v2	0.4468	0.0806	0.608	0.2856	FALSE
Patient413	1	Primary-v3	0.4729	0.12	0.7129	0.2329	FALSE
Patient413	1	Primary-v4	0.5773	0.0746	0.7265	0.4281	FALSE
Patient413	1	Primary-v5	0.4285	0.1095	0.6475	0.2095	FALSE
Patient413	1	Primary-v6	0.4163	0.0767	0.5697	0.2629	FALSE
Patient413	1	Primary-v7	0.4475	0.0705	0.5885	0.3065	FALSE
Patient413	1	Primary-v8	0.5355	0.0602	0.6559	0.4151	FALSE
Patient413	1	Primary-v9	0.3233	0.0508	0.4249	0.2217	FALSE
Patient413	2	Primary-v1	1e-04	0.0011	0.0023	-0.0021	FALSE
Patient413	2	Primary-v10	0.7677	0.0621	0.8919	0.6435	FALSE
Patient413	2	Primary-v2	1e-04	0.0013	0.0027	-0.0025	FALSE
Patient413	2	Primary-v3	0	8e-04	0.0016	-0.0016	FALSE
Patient413	2	Primary-v4	0	6e-04	0.0012	-0.0012	FALSE
Patient413	2	Primary-v5	0.219	0.0454	0.3098	0.1282	FALSE
Patient413	2	Primary-v6	0.4925	0.0587	0.6099	0.3751	FALSE
Patient413	2	Primary-v7	0.4426	0.0565	0.5556	0.3296	FALSE
Patient413	2	Primary-v8	0.5199	0.0577	0.6353	0.4045	FALSE
Patient413	2	Primary-v9	0.2544	0.0425	0.3394	0.1694	FALSE
Patient413	3	Primary-v1	0.724	0.0423	0.8086	0.6394	FALSE
Patient413	3	Primary-v10	0.789	0.0436	0.8762	0.7018	FALSE
Patient413	3	Primary-v2	0.3892	0.0506	0.4904	0.288	FALSE
Patient413	3	Primary-v3	0.7319	0.0446	0.8211	0.6427	FALSE
Patient413	3	Primary-v4	0.2833	0.0385	0.3603	0.2063	FALSE
